,RDSA.AS,RDSA.AS,RDSA.AS,RDSA.AS,RDSA.AS,CL=F,CL=F,CL=F,CL=F,CL=F,CL=F,^AEX,^AEX,^AEX,^AEX,^AEX
,Open,High,Low,Close,Volume,Adj Close,Close,High,Low,Open,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,
1992-10-12,,,,,,,,,,,,126.38290405273438,127.18155670166016,126.0561752319336,126.94559478759766,0.0
1992-10-13,,,,,,,,,,,,126.77315521240234,127.00458526611328,126.49180603027344,126.85029602050781,0.0
1992-10-14,,,,,,,,,,,,126.0561752319336,126.55533599853516,126.00172424316406,126.48727416992188,0.0
1992-10-15,,,,,,,,,,,,126.09701538085938,126.56895446777344,125.68861389160156,125.82475280761719,0.0
1992-10-16,,,,,,,,,,,,126.2649154663086,126.47819519042969,124.85819244384766,125.23029327392578,0.0
1992-10-19,,,,,,,,,,,,124.96710205078125,125.1849136352539,124.14122009277344,124.28643035888672,0.0
1992-10-20,,,,,,,,,,,,125.43903350830078,126.73685455322266,125.23483276367188,126.4736557006836,0.0
1992-10-21,,,,,,,,,,,,127.23601531982422,127.5854263305664,126.10609436035156,126.30122375488281,0.0
1992-10-22,,,,,,,,,,,,126.2649154663086,126.42828369140625,125.43903350830078,125.66592407226562,0.0
1992-10-23,,,,,,,,,,,,124.80374145507812,126.3420639038086,124.79920196533203,126.22407531738281,0.0
1992-10-26,,,,,,,,,,,,126.83214569091797,126.87298583984375,126.21500396728516,126.3375244140625,0.0
1992-10-27,,,,,,,,,,,,126.15147399902344,126.85029602050781,125.80659484863281,126.6778564453125,0.0
1992-10-28,,,,,,,,,,,,126.51903533935547,126.67332458496094,126.26038360595703,126.40105438232422,0.0
1992-10-29,,,,,,,,,,,,125.52979278564453,125.56155395507812,124.71298217773438,124.78105163574219,0.0
1992-10-30,,,,,,,,,,,,125.4980239868164,125.57970428466797,124.02777099609375,124.0459213256836,0.0
1992-11-02,,,,,,,,,,,,123.75096130371094,125.04424285888672,123.39701080322266,125.02155303955078,0.0
1992-11-03,,,,,,,,,,,,126.38290405273438,126.56441497802734,125.90189361572266,126.22407531738281,0.0
1992-11-04,,,,,,,,,,,,125.93819427490234,126.06071472167969,125.01701354980469,125.27113342285156,0.0
1992-11-05,,,,,,,,,,,,124.15937042236328,125.51617431640625,124.13668060302734,125.38911437988281,0.0
1992-11-06,,,,,,,,,,,,125.43449401855469,126.24222564697266,125.17584228515625,126.01533508300781,0.0
1992-11-09,,,,,,,,,,,,125.87920379638672,126.7504653930664,125.87012481689453,126.24222564697266,0.0
1992-11-10,,,,,,,,,,,,126.36475372314453,126.990966796875,126.20138549804688,126.7595443725586,0.0
1992-11-11,,,,,,,,,,,,126.2376937866211,126.66424560546875,126.04256439208984,126.20592498779297,0.0
